Name	DS-ID	Tissue	Time	Group	Cut-Count-File	Peak-File	Stage	Fetal-Early	System	Sub-Name	Previous Sample
mA20-DS16690	DS16690	mA20		B cell lymphoma	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mA20-DS16690.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mA20-DS16690.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
mA20-DS16695	DS16695	mA20		B cell lymphoma	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mA20-DS16695.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mA20-DS16695.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
mATn-DS17070	DS17070	mATn		T cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mATn-DS17070.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mATn-DS17070.peaks.mm10.bed.starch	adult		Heme	Immune	TRUE
mATn-DS18848	DS18848	mATn		T cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mATn-DS18848.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mATn-DS18848.peaks.mm10.bed.starch	adult		Heme	Immune	TRUE
mATr-DS17077	DS17077	mATr		T cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mATr-DS17077.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mATr-DS17077.peaks.mm10.bed.starch	adult		Heme	Immune	TRUE
mATr-DS20149	DS20149	mATr		T cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mATr-DS20149.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mATr-DS20149.peaks.mm10.bed.starch	adult		Heme	Immune	TRUE
mB-DS17866	DS17866	mB		B cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mB-DS17866.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mB-DS17866.peaks.mm10.bed.starch	adult		Heme	Immune	TRUE
mB-DS17867	DS17867	mB		B cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mB-DS17867.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mB-DS17867.peaks.mm10.bed.starch	adult		Heme	Immune	TRUE
mB-DS17948	DS17948	mB		B cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mB-DS17948.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mB-DS17948.peaks.mm10.bed.starch	adult		Heme	Immune	TRUE
mB-DS18865	DS18865	mB		B cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mB-DS18865.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mB-DS18865.peaks.mm10.bed.starch	adult		Heme	Immune	TRUE
mBrain-DS11113	DS11113	mBrain		Brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mBrain-DS11113.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mBrain-DS11113.peaks.mm10.bed.starch	adult		Brain		TRUE
mBrain-DS11123	DS11123	mBrain		Brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mBrain-DS11123.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mBrain-DS11123.peaks.mm10.bed.starch	adult		Brain		TRUE
mBrain-DS11128	DS11128	mBrain		Brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mBrain-DS11128.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mBrain-DS11128.peaks.mm10.bed.starch	adult		Brain		TRUE
mBrain-DS12727	DS12727	mBrain		Brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mBrain-DS12727.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mBrain-DS12727.peaks.mm10.bed.starch	adult		Brain		TRUE
mBrain-DS13612	DS13612	mBrain		Brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mBrain-DS13612.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mBrain-DS13612.peaks.mm10.bed.starch	adult		Brain		TRUE
mBrain-DS14445	DS14445	mBrain		Brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mBrain-DS14445.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mBrain-DS14445.peaks.mm10.bed.starch	adult		Brain		TRUE
mBrain-DS14617	DS14617	mBrain		Brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mBrain-DS14617.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mBrain-DS14617.peaks.mm10.bed.starch	adult		Brain		TRUE
mCD19-DS13845	DS13845	mCD19		B cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mCD19-DS13845.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mCD19-DS13845.peaks.mm10.bed.starch	adult		Heme	Immune	TRUE
mCD19-DS16168	DS16168	mCD19		B cell	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mCD19-DS16168.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mCD19-DS16168.peaks.mm10.bed.starch	adult		Heme	Immune	TRUE
mCerebellum-DS14033	DS14033	mCerebellum		cerebellum	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mCerebellum-DS14033.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mCerebellum-DS14033.peaks.mm10.bed.starch	adult		Brain		TRUE
mCerebellum-DS14034	DS14034	mCerebellum		cerebellum	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mCerebellum-DS14034.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mCerebellum-DS14034.peaks.mm10.bed.starch	adult		Brain		TRUE
mCerebellum-DS19087	DS19087	mCerebellum		cerebellum	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mCerebellum-DS19087.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mCerebellum-DS19087.peaks.mm10.bed.starch	adult		Brain		TRUE
mCerebrum-DS14024	DS14024	mCerebrum		brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mCerebrum-DS14024.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mCerebrum-DS14024.peaks.mm10.bed.starch	adult		Brain		TRUE
mCerebrum-DS14499	DS14499	mCerebrum		brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mCerebrum-DS14499.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mCerebrum-DS14499.peaks.mm10.bed.starch	adult		Brain		TRUE
mCerebrum-DS14500	DS14500	mCerebrum		brain	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mCerebrum-DS14500.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mCerebrum-DS14500.peaks.mm10.bed.starch	adult		Brain		TRUE
MEL-DS13036	DS13036	MEL		erythroid	/home/jlazar/proj/mouse_encode/cut_counts/base-count.MEL-DS13036.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/MEL-DS13036.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
MEL-DS13039	DS13039	MEL		erythroid	/home/jlazar/proj/mouse_encode/cut_counts/base-count.MEL-DS13039.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/MEL-DS13039.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
MEL-DS13042	DS13042	MEL		erythroid	/home/jlazar/proj/mouse_encode/cut_counts/base-count.MEL-DS13042.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/MEL-DS13042.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
mFatPad-DS14020	DS14020	mFatPad		Adipocyte	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mFatPad-DS14020.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mFatPad-DS14020.peaks.mm10.bed.starch	adult		Connective		TRUE
mFatPad-DS14021	DS14021	mFatPad		Adipocyte	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mFatPad-DS14021.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mFatPad-DS14021.peaks.mm10.bed.starch	adult		Connective		TRUE
mFibroblast-DS10085	DS10085	mFibroblast		fibroblast	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mFibroblast-DS10085.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mFibroblast-DS10085.peaks.mm10.bed.starch	adult		Connective		TRUE
mFibroblast-DS10088	DS10088	mFibroblast		fibroblast	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mFibroblast-DS10088.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mFibroblast-DS10088.peaks.mm10.bed.starch	adult		Connective		TRUE
mGenitalFatPad-DS18780	DS18780	mGenitalFatPad		adipocyte	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mGenitalFatPad-DS18780.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mGenitalFatPad-DS18780.peaks.mm10.bed.starch	adult		Connective		TRUE
mGER-DS15395	DS15395	mGER	0h	erythroid	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mGER-DS15395.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mGER-DS15395.peaks.mm10.bed.starch	adult		Heme		TRUE
mGER-DS15400	DS15400	mGER	0h	erythroid	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mGER-DS15400.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mGER-DS15400.peaks.mm10.bed.starch	adult		Heme		TRUE
mGER-DS15405	DS15405	mGER	24h	erythroid	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mGER-DS15405.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mGER-DS15405.peaks.mm10.bed.starch	adult		Heme		TRUE
mGER-DS15410	DS15410	mGER	24h	erythroid	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mGER-DS15410.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mGER-DS15410.peaks.mm10.bed.starch	adult		Heme		TRUE
mGER-DS15415	DS15415	mGER	48h	erythroid	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mGER-DS15415.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mGER-DS15415.peaks.mm10.bed.starch	adult		Heme		TRUE
mGER-DS15420	DS15420	mGER	48h	erythroid	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mGER-DS15420.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mGER-DS15420.peaks.mm10.bed.starch	adult		Heme		TRUE
mHeart-DS17909	DS17909	mHeart		heart	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mHeart-DS17909.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mHeart-DS17909.peaks.mm10.bed.starch	adult		CV		TRUE
mHeart-DS18138	DS18138	mHeart		heart	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mHeart-DS18138.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mHeart-DS18138.peaks.mm10.bed.starch	adult		CV		TRUE
mIntestine_Large-DS18784	DS18784	mIntestine_Large		GI	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mIntestine_Large-DS18784.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mIntestine_Large-DS18784.peaks.mm10.bed.starch	adult		GI		TRUE
mIntestine_Large-DS19140	DS19140	mIntestine_Large		GI	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mIntestine_Large-DS19140.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mIntestine_Large-DS19140.peaks.mm10.bed.starch	adult		GI		TRUE
mKidney-DS13948	DS13948	mKidney		kidney	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mKidney-DS13948.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mKidney-DS13948.peaks.mm10.bed.starch	adult		Kidney		TRUE
mKidney-DS17298	DS17298	mKidney		kidney	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mKidney-DS17298.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mKidney-DS17298.peaks.mm10.bed.starch	adult		Kidney		TRUE
mLiver-DS14004	DS14004	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS14004.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS14004.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS14005	DS14005	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS14005.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS14005.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS14193	DS14193	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS14193.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS14193.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS14452	DS14452	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS14452.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS14452.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS14455	DS14455	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS14455.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS14455.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS14475	DS14475	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS14475.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS14475.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS14476	DS14476	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS14476.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS14476.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS14605	DS14605	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS14605.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS14605.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS14609	DS14609	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS14609.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS14609.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS16740	DS16740	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS16740.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS16740.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS16853	DS16853	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS16853.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS16853.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS16858	DS16858	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS16858.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS16858.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS19375	DS19375	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS19375.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS19375.peaks.mm10.bed.starch	adult		GI		TRUE
mLiver-DS19636	DS19636	mLiver		liver	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLiver-DS19636.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLiver-DS19636.peaks.mm10.bed.starch	adult		GI		TRUE
MLL_AF9-DS22924	DS22924	MLL_AF9		myeloid	/home/jlazar/proj/mouse_encode/cut_counts/base-count.MLL_AF9-DS22924A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/MLL_AF9-DS22924A.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
MLL_AF9-DS22977	DS22977	MLL_AF9		myeloid	/home/jlazar/proj/mouse_encode/cut_counts/base-count.MLL_AF9-DS22977.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/MLL_AF9-DS22977.peaks.mm10.bed.starch	adult		Heme	Cancer	TRUE
mLung-DS14479	DS14479	mLung		lung	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLung-DS14479.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLung-DS14479.peaks.mm10.bed.starch	adult		Lung		TRUE
mLung-DS14480	DS14480	mLung		lung	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLung-DS14480.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLung-DS14480.peaks.mm10.bed.starch	adult		Lung		TRUE
mLung-DS17292	DS17292	mLung		lung	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mLung-DS17292.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mLung-DS17292.peaks.mm10.bed.starch	adult		Lung		TRUE
mMuscle_Skeletal-DS18130	DS18130	mMuscle_Skeletal		skm	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mMuscle_Skeletal-DS18130.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mMuscle_Skeletal-DS18130.peaks.mm10.bed.starch	adult		MSK		TRUE
mMuscle_Skeletal-DS18892	DS18892	mMuscle_Skeletal		skm	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mMuscle_Skeletal-DS18892.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mMuscle_Skeletal-DS18892.peaks.mm10.bed.starch	adult		MSK		TRUE
MN1-DS30610	DS30610	MN1		neuron	/home/jlazar/proj/mouse_encode/cut_counts/base-count.MN1-DS30610A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/MN1-DS30610A.peaks.mm10.bed.starch	adult		Brain		TRUE
MN1-DS31588	DS31588	MN1		neuron	/home/jlazar/proj/mouse_encode/cut_counts/base-count.MN1-DS31588A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/MN1-DS31588A.peaks.mm10.bed.starch	adult		Brain		TRUE
MN1-DS31645	DS31645	MN1		neuron	/home/jlazar/proj/mouse_encode/cut_counts/base-count.MN1-DS31645A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/MN1-DS31645A.peaks.mm10.bed.starch	adult		Brain		TRUE
MN1-DS31652	DS31652	MN1		neuron	/home/jlazar/proj/mouse_encode/cut_counts/base-count.MN1-DS31652A.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/MN1-DS31652A.peaks.mm10.bed.starch	adult		Brain		TRUE
mNIH_3T3-DS16900	DS16900	mNIH_3T3		fibroblast	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mNIH_3T3-DS16900.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mNIH_3T3-DS16900.peaks.mm10.bed.starch	adult		Connective		TRUE
mNIH_3T3-DS16909	DS16909	mNIH_3T3		fibroblast	/home/jlazar/proj/mouse_encode/cut_counts/base-count.mNIH_3T3-DS16909.perBase.36.mm10.bed.starch	/net/seq/data/projects/ENCODE3_publications/mouse_dnase_recall/hotspot2-fdr0.05/peaks/mNIH_3T3-DS16909.peaks.mm10.bed.starch	adult		Connective		TRUE
