DS-ID	Tissue	Time	Patient	Peak-File	Cut-Count-File	Aggregation-ID
DS15123	adrenal	d85	H23327	/net/seq/data/aggregations/LN3261/aggregation-9124/peaks/LN3261.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3261/aggregation-9124/LN3261.GRCh38_no_alts.cutcounts.sorted.bed.starch	9124.0
DS15227	lung	d108	H23365	/net/seq/data/aggregations/LN3295/aggregation-9120/peaks/LN3295.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3295/aggregation-9120/LN3295.GRCh38_no_alts.cutcounts.sorted.bed.starch	9120.0
DS15453	brain	d112	H23399	/net/seq/data/aggregations/LN3352/aggregation-9119/peaks/LN3352.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3352/aggregation-9119/LN3352.GRCh38_no_alts.cutcounts.sorted.bed.starch	9119.0
DS15461	lung	d112	H23399	/net/seq/data/aggregations/LN3355/aggregation-9118/peaks/LN3355.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3355/aggregation-9118/LN3355.GRCh38_no_alts.cutcounts.sorted.bed.starch	9118.0
DS15573	lung	d82	H23419	/net/seq/data/aggregations/LN3385/aggregation-9117/peaks/LN3385.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3385/aggregation-9117/LN3385.GRCh38_no_alts.cutcounts.sorted.bed.starch	9117.0
DS15632	right_lung	d117	H23435	/net/seq/data/aggregations/LN3398/aggregation-9116/peaks/LN3398.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3398/aggregation-9116/LN3398.GRCh38_no_alts.cutcounts.sorted.bed.starch	9116.0
DS15637	left_lung	d117	H23435	/net/seq/data/aggregations/LN3399/aggregation-9115/peaks/LN3399.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3399/aggregation-9115/LN3399.GRCh38_no_alts.cutcounts.sorted.bed.starch	9115.0
DS15643	heart	d117	H23435	/net/seq/data/aggregations/LN3400/aggregation-9114/peaks/LN3400.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3400/aggregation-9114/LN3400.GRCh38_no_alts.cutcounts.sorted.bed.starch	9114.0
DS15651	right_kidney	d117	H23435	/net/seq/data/aggregations/LN3402/aggregation-9113/peaks/LN3402.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3402/aggregation-9113/LN3402.GRCh38_no_alts.cutcounts.sorted.bed.starch	9113.0
DS15839	heart	d96	H23468	/net/seq/data/aggregations/LN3462/aggregation-9112/peaks/LN3462.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3462/aggregation-9112/LN3462.GRCh38_no_alts.cutcounts.sorted.bed.starch	9112.0
DS16018	heart	d103	H23500	/net/seq/data/aggregations/LN3509/aggregation-9109/peaks/LN3509.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3509/aggregation-9109/LN3509.GRCh38_no_alts.cutcounts.sorted.bed.starch	9109.0
DS16027	large_intestine	d103	H23500	/net/seq/data/aggregations/LN3513/aggregation-9108/peaks/LN3513.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3513/aggregation-9108/LN3513.GRCh38_no_alts.cutcounts.sorted.bed.starch	9108.0
DS16139	kidney	d105	H23524	/net/seq/data/aggregations/LN3572/aggregation-9107/peaks/LN3572.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3572/aggregation-9107/LN3572.GRCh38_no_alts.cutcounts.sorted.bed.starch	9107.0
DS16146	heart	d105	H23524	/net/seq/data/aggregations/LN3574/aggregation-9106/peaks/LN3574.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3574/aggregation-9106/LN3574.GRCh38_no_alts.cutcounts.sorted.bed.starch	9106.0
DS16164	large_intestine	d105	H23524	/net/seq/data/aggregations/LN3584/aggregation-9105/peaks/LN3584.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3584/aggregation-9105/LN3584.GRCh38_no_alts.cutcounts.sorted.bed.starch	9105.0
DS16302	brain	d142	H23548	/net/seq/data/aggregations/LN3657/aggregation-9104/peaks/LN3657.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3657/aggregation-9104/LN3657.GRCh38_no_alts.cutcounts.sorted.bed.starch	9104.0
DS16441	right_kidney	d147	H23589	/net/seq/data/aggregations/LN3690/aggregation-9102/peaks/LN3690.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3690/aggregation-9102/LN3690.GRCh38_no_alts.cutcounts.sorted.bed.starch	9102.0
DS16446	left_kidney	d147	H23589	/net/seq/data/aggregations/LN3692/aggregation-9101/peaks/LN3692.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3692/aggregation-9101/LN3692.GRCh38_no_alts.cutcounts.sorted.bed.starch	9101.0
DS16500	heart	d147	H23589	/net/seq/data/aggregations/LN3702/aggregation-9099/peaks/LN3702.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3702/aggregation-9099/LN3702.GRCh38_no_alts.cutcounts.sorted.bed.starch	9099.0
DS16530	stomach	d147	H23589	/net/seq/data/aggregations/LN3712/aggregation-9098/peaks/LN3712.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3712/aggregation-9098/LN3712.GRCh38_no_alts.cutcounts.sorted.bed.starch	9098.0
DS16559	small_intestine	d110	H23604	/net/seq/data/aggregations/LN3713/aggregation-9097/peaks/LN3713.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3713/aggregation-9097/LN3713.GRCh38_no_alts.cutcounts.sorted.bed.starch	9097.0
DS16563	large_intestine	d110	H23604	/net/seq/data/aggregations/LN3714/aggregation-9096/peaks/LN3714.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3714/aggregation-9096/LN3714.GRCh38_no_alts.cutcounts.sorted.bed.starch	9096.0
DS16566	right_lung	d110	H23604	/net/seq/data/aggregations/LN3715/aggregation-9095/peaks/LN3715.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3715/aggregation-9095/LN3715.GRCh38_no_alts.cutcounts.sorted.bed.starch	9095.0
DS16570	left_lung	d110	H23604	/net/seq/data/aggregations/LN3716/aggregation-9094/peaks/LN3716.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3716/aggregation-9094/LN3716.GRCh38_no_alts.cutcounts.sorted.bed.starch	9094.0
DS16579	left_kidney	d110	H23604	/net/seq/data/aggregations/LN3718/aggregation-9093/peaks/LN3718.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3718/aggregation-9093/LN3718.GRCh38_no_alts.cutcounts.sorted.bed.starch	9093.0
DS16582	heart	d110	H23604	/net/seq/data/aggregations/LN3719/aggregation-9092/peaks/LN3719.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3719/aggregation-9092/LN3719.GRCh38_no_alts.cutcounts.sorted.bed.starch	9092.0
DS16621	heart	d110	H23617	/net/seq/data/aggregations/LN3732/aggregation-9091/peaks/LN3732.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3732/aggregation-9091/LN3732.GRCh38_no_alts.cutcounts.sorted.bed.starch	9091.0
DS16712	small_intestine	d115	H23640	/net/seq/data/aggregations/LN3755/aggregation-9090/peaks/LN3755.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3755/aggregation-9090/LN3755.GRCh38_no_alts.cutcounts.sorted.bed.starch	9090.0
DS16790	right_lung	d115	H23640	/net/seq/data/aggregations/LN3774/aggregation-9089/peaks/LN3774.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3774/aggregation-9089/LN3774.GRCh38_no_alts.cutcounts.sorted.bed.starch	9089.0
DS16801	right_kidney	d115	H23640	/net/seq/data/aggregations/LN3776/aggregation-9088/peaks/LN3776.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3776/aggregation-9088/LN3776.GRCh38_no_alts.cutcounts.sorted.bed.starch	9088.0
DS16805	left_kidney	d115	H23640	/net/seq/data/aggregations/LN3779/aggregation-9087/peaks/LN3779.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3779/aggregation-9087/LN3779.GRCh38_no_alts.cutcounts.sorted.bed.starch	9087.0
DS16819	heart	d105	H23663	/net/seq/data/aggregations/LN3787/aggregation-9086/peaks/LN3787.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3787/aggregation-9086/LN3787.GRCh38_no_alts.cutcounts.sorted.bed.starch	9086.0
DS16822	small_intestine	d105	H23663	/net/seq/data/aggregations/LN3788/aggregation-9085/peaks/LN3788.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3788/aggregation-9085/LN3788.GRCh38_no_alts.cutcounts.sorted.bed.starch	9085.0
DS16837	kidney	d105	H23663	/net/seq/data/aggregations/LN3793/aggregation-9083/peaks/LN3793.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3793/aggregation-9083/LN3793.GRCh38_no_alts.cutcounts.sorted.bed.starch	9083.0
DS16975	small_intestine	d87	H23724	/net/seq/data/aggregations/LN3833/aggregation-9079/peaks/LN3833.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3833/aggregation-9079/LN3833.GRCh38_no_alts.cutcounts.sorted.bed.starch	9079.0
DS17068	kidney	d87	H23724	/net/seq/data/aggregations/LN3859/aggregation-9078/peaks/LN3859.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3859/aggregation-9078/LN3859.GRCh38_no_alts.cutcounts.sorted.bed.starch	9078.0
DS17092	small_intestine	d91	H23744	/net/seq/data/aggregations/LN3871/aggregation-9077/peaks/LN3871.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3871/aggregation-9077/LN3871.GRCh38_no_alts.cutcounts.sorted.bed.starch	9077.0
DS17094	large_intestine	d91	H23744	/net/seq/data/aggregations/LN3872/aggregation-9076/peaks/LN3872.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3872/aggregation-9076/LN3872.GRCh38_no_alts.cutcounts.sorted.bed.starch	9076.0
DS17101	right_lung	d91	H23744	/net/seq/data/aggregations/LN3873/aggregation-9075/peaks/LN3873.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3873/aggregation-9075/LN3873.GRCh38_no_alts.cutcounts.sorted.bed.starch	9075.0
DS17105	left_lung	d91	H23744	/net/seq/data/aggregations/LN3874/aggregation-9074/peaks/LN3874.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3874/aggregation-9074/LN3874.GRCh38_no_alts.cutcounts.sorted.bed.starch	9074.0
DS17140	left_kidney	d107	H23758	/net/seq/data/aggregations/LN3892/aggregation-9072/peaks/LN3892.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3892/aggregation-9072/LN3892.GRCh38_no_alts.cutcounts.sorted.bed.starch	9072.0
DS17144	right_kidney	d107	H23758	/net/seq/data/aggregations/LN3893/aggregation-9071/peaks/LN3893.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3893/aggregation-9071/LN3893.GRCh38_no_alts.cutcounts.sorted.bed.starch	9071.0
DS17150	small_intestine	d107	H23758	/net/seq/data/aggregations/LN3894/aggregation-9070/peaks/LN3894.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3894/aggregation-9070/LN3894.GRCh38_no_alts.cutcounts.sorted.bed.starch	9070.0
DS17154	left_lung	d107	H23758	/net/seq/data/aggregations/LN3895/aggregation-9069/peaks/LN3895.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3895/aggregation-9069/LN3895.GRCh38_no_alts.cutcounts.sorted.bed.starch	9069.0
DS17157	large_intestine	d107	H23758	/net/seq/data/aggregations/LN3896/aggregation-9068/peaks/LN3896.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3896/aggregation-9068/LN3896.GRCh38_no_alts.cutcounts.sorted.bed.starch	9068.0
DS17162	right_lung	d107	H23758	/net/seq/data/aggregations/LN3898/aggregation-9067/peaks/LN3898.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3898/aggregation-9067/LN3898.GRCh38_no_alts.cutcounts.sorted.bed.starch	9067.0
DS17172	stomach	d107	H23758	/net/seq/data/aggregations/LN3901/aggregation-9066/peaks/LN3901.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3901/aggregation-9066/LN3901.GRCh38_no_alts.cutcounts.sorted.bed.starch	9066.0
DS17307	renal_cortex	d108	H23769	/net/seq/data/aggregations/LN3926/aggregation-9058/peaks/LN3926.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3926/aggregation-9058/LN3926.GRCh38_no_alts.cutcounts.sorted.bed.starch	9058.0
DS17313	large_intestine	d108	H23769	/net/seq/data/aggregations/LN3928/aggregation-9057/peaks/LN3928.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3928/aggregation-9057/LN3928.GRCh38_no_alts.cutcounts.sorted.bed.starch	9057.0
DS17317	small_intestine	d108	H23769	/net/seq/data/aggregations/LN3929/aggregation-9056/peaks/LN3929.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3929/aggregation-9056/LN3929.GRCh38_no_alts.cutcounts.sorted.bed.starch	9056.0
DS17319	adrenal	d108	H23769	/net/seq/data/aggregations/LN3930/aggregation-9055/peaks/LN3930.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3930/aggregation-9055/LN3930.GRCh38_no_alts.cutcounts.sorted.bed.starch	9055.0
DS17325	stomach	d108	H23769	/net/seq/data/aggregations/LN3933/aggregation-9053/peaks/LN3933.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3933/aggregation-9053/LN3933.GRCh38_no_alts.cutcounts.sorted.bed.starch	9053.0
DS17381	renal_pelvis	d108	H23790	/net/seq/data/aggregations/LN3946/aggregation-9049/peaks/LN3946.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3946/aggregation-9049/LN3946.GRCh38_no_alts.cutcounts.sorted.bed.starch	9049.0
DS17387	renal_cortex	d108	H23790	/net/seq/data/aggregations/LN3947/aggregation-9048/peaks/LN3947.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3947/aggregation-9048/LN3947.GRCh38_no_alts.cutcounts.sorted.bed.starch	9048.0
DS17422	large_intestine	d115	H23808	/net/seq/data/aggregations/LN3956/aggregation-9046/peaks/LN3956.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3956/aggregation-9046/LN3956.GRCh38_no_alts.cutcounts.sorted.bed.starch	9046.0
DS17425	small_intestine	d115	H23808	/net/seq/data/aggregations/LN3958/aggregation-9045/peaks/LN3958.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3958/aggregation-9045/LN3958.GRCh38_no_alts.cutcounts.sorted.bed.starch	9045.0
DS17432	muscle	d115	H23808	/net/seq/data/aggregations/LN3961/aggregation-9043/peaks/LN3961.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3961/aggregation-9043/LN3961.GRCh38_no_alts.cutcounts.sorted.bed.starch	9043.0
DS17451	renal_pelvis	d113	H23833	/net/seq/data/aggregations/LN3968/aggregation-9039/peaks/LN3968.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3968/aggregation-9039/LN3968.GRCh38_no_alts.cutcounts.sorted.bed.starch	9039.0
DS17455	renal_cortex	d113	H23833	/net/seq/data/aggregations/LN3969/aggregation-9038/peaks/LN3969.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3969/aggregation-9038/LN3969.GRCh38_no_alts.cutcounts.sorted.bed.starch	9038.0
DS17462	large_intestine	d113	H23833	/net/seq/data/aggregations/LN3972/aggregation-9037/peaks/LN3972.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3972/aggregation-9037/LN3972.GRCh38_no_alts.cutcounts.sorted.bed.starch	9037.0
DS17464	left_lung	d113	H23833	/net/seq/data/aggregations/LN3973/aggregation-9036/peaks/LN3973.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3973/aggregation-9036/LN3973.GRCh38_no_alts.cutcounts.sorted.bed.starch	9036.0
DS17502	large_intestine	d85	H23855	/net/seq/data/aggregations/LN3998/aggregation-9034/peaks/LN3998.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN3998/aggregation-9034/LN3998.GRCh38_no_alts.cutcounts.sorted.bed.starch	9034.0
DS17522	kidney	d85	H23855	/net/seq/data/aggregations/LN4008/aggregation-9033/peaks/LN4008.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4008/aggregation-9033/LN4008.GRCh38_no_alts.cutcounts.sorted.bed.starch	9033.0
DS17643	small_intestine	d108	H23887	/net/seq/data/aggregations/LN4047/aggregation-9026/peaks/LN4047.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4047/aggregation-9026/LN4047.GRCh38_no_alts.cutcounts.sorted.bed.starch	9026.0
DS17647	large_intestine	d108	H23887	/net/seq/data/aggregations/LN4049/aggregation-9025/peaks/LN4049.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4049/aggregation-9025/LN4049.GRCh38_no_alts.cutcounts.sorted.bed.starch	9025.0
DS17659	stomach	d108	H23887	/net/seq/data/aggregations/LN4053/aggregation-9024/peaks/LN4053.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4053/aggregation-9024/LN4053.GRCh38_no_alts.cutcounts.sorted.bed.starch	9024.0
DS17670	right_lung	d108	H23887	/net/seq/data/aggregations/LN4056/aggregation-9021/peaks/LN4056.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4056/aggregation-9021/LN4056.GRCh38_no_alts.cutcounts.sorted.bed.starch	9021.0
DS17674	left_lung	d108	H23887	/net/seq/data/aggregations/LN4057/aggregation-9020/peaks/LN4057.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4057/aggregation-9020/LN4057.GRCh38_no_alts.cutcounts.sorted.bed.starch	9020.0
DS17677	adrenal	d108	H23887	/net/seq/data/aggregations/LN4058/aggregation-9019/peaks/LN4058.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4058/aggregation-9019/LN4058.GRCh38_no_alts.cutcounts.sorted.bed.starch	9019.0
DS17739	left_lung	d91	H23914	/net/seq/data/aggregations/LN4063/aggregation-9016/peaks/LN4063.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4063/aggregation-9016/LN4063.GRCh38_no_alts.cutcounts.sorted.bed.starch	9016.0
DS17748	large_intestine	d91	H23914	/net/seq/data/aggregations/LN4065/aggregation-9014/peaks/LN4065.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4065/aggregation-9014/LN4065.GRCh38_no_alts.cutcounts.sorted.bed.starch	9014.0
DS17750	stomach	d91	H23914	/net/seq/data/aggregations/LN4066/aggregation-9013/peaks/LN4066.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4066/aggregation-9013/LN4066.GRCh38_no_alts.cutcounts.sorted.bed.starch	9013.0
DS17753	kidney	d108	H23887	/net/seq/data/aggregations/LN4067/aggregation-9012/peaks/LN4067.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4067/aggregation-9012/LN4067.GRCh38_no_alts.cutcounts.sorted.bed.starch	9012.0
DS17756	renal_cortex	d91	H23914	/net/seq/data/aggregations/LN4068/aggregation-9011/peaks/LN4068.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4068/aggregation-9011/LN4068.GRCh38_no_alts.cutcounts.sorted.bed.starch	9011.0
DS17760	renal_pelvis	d91	H23914	/net/seq/data/aggregations/LN4069/aggregation-9010/peaks/LN4069.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4069/aggregation-9010/LN4069.GRCh38_no_alts.cutcounts.sorted.bed.starch	9010.0
DS17763	small_intestine	d91	H23914	/net/seq/data/aggregations/LN4070/aggregation-9009/peaks/LN4070.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4070/aggregation-9009/LN4070.GRCh38_no_alts.cutcounts.sorted.bed.starch	9009.0
DS17765	muscle	d91	H23914	/net/seq/data/aggregations/LN4071/aggregation-9008/peaks/LN4071.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4071/aggregation-9008/LN4071.GRCh38_no_alts.cutcounts.sorted.bed.starch	9008.0
DS17785	large_intestine	d120	H23941	/net/seq/data/aggregations/LN4074/aggregation-9006/peaks/LN4074.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4074/aggregation-9006/LN4074.GRCh38_no_alts.cutcounts.sorted.bed.starch	9006.0
DS17804	renal_cortex	d120	H23941	/net/seq/data/aggregations/LN4076/aggregation-9005/peaks/LN4076.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4076/aggregation-9005/LN4076.GRCh38_no_alts.cutcounts.sorted.bed.starch	9005.0
DS17808	small_intestine	d120	H23941	/net/seq/data/aggregations/LN4077/aggregation-9004/peaks/LN4077.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4077/aggregation-9004/LN4077.GRCh38_no_alts.cutcounts.sorted.bed.starch	9004.0
DS17825	muscle	d120	H23941	/net/seq/data/aggregations/LN4083/aggregation-9003/peaks/LN4083.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4083/aggregation-9003/LN4083.GRCh38_no_alts.cutcounts.sorted.bed.starch	9003.0
DS17831	right_lung	d98	H23964	/net/seq/data/aggregations/LN4085/aggregation-9001/peaks/LN4085.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4085/aggregation-9001/LN4085.GRCh38_no_alts.cutcounts.sorted.bed.starch	9001.0
DS17835	left_lung	d98	H23964	/net/seq/data/aggregations/LN4086/aggregation-9000/peaks/LN4086.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4086/aggregation-9000/LN4086.GRCh38_no_alts.cutcounts.sorted.bed.starch	9000.0
DS17841	large_intestine	d98	H23964	/net/seq/data/aggregations/LN4087/aggregation-8999/peaks/LN4087.GRCh38_no_alts.uniques.sorted.peaks.starch	/net/seq/data/aggregations/LN4087/aggregation-8999/LN4087.GRCh38_no_alts.cutcounts.sorted.bed.starch	8999.0
