Human	Mouse	jaccard12
ENSG00000258609	ENSMUSG00000086732	0.006829619
ENSG00000204241	ENSMUSG00000100409	0.00682361
ENSG00000227192	ENSMUSG00000084776	0.006793977
ENSG00000263370	ENSMUSG00000101585	0.006784969
ENSG00000240567	ENSMUSG00000105104	0.006774362
ENSG00000234311	ENSMUSG00000102055	0.0067469
ENSG00000241313	ENSMUSG00000086411	0.006726457
ENSG00000272777	ENSMUSG00000085229	0.006717189
ENSG00000247925	ENSMUSG00000085345	0.006629449
ENSG00000272049	ENSMUSG00000084776	0.006603081
ENSG00000242268	ENSMUSG00000085229	0.006601807
ENSG00000266279	ENSMUSG00000100465	0.006598368
ENSG00000236469	ENSMUSG00000085229	0.00658693
ENSG00000231140	ENSMUSG00000085229	0.00657667
ENSG00000280693	ENSMUSG00000085229	0.006565308
ENSG00000236975	ENSMUSG00000019933	0.006547514
ENSG00000241111	ENSMUSG00000085229	0.006537072
ENSG00000258297	ENSMUSG00000085864	0.006525573
ENSG00000269560	ENSMUSG00000085229	0.006506066
ENSG00000233478	ENSMUSG00000100465	0.006475801
ENSG00000244558	ENSMUSG00000102346	0.006472492
ENSG00000249984	ENSMUSG00000101416	0.006451613
ENSG00000253471	ENSMUSG00000099815	0.006439262
ENSG00000254859	ENSMUSG00000100465	0.006385916
ENSG00000267722	ENSMUSG00000087074	0.006384111
ENSG00000224504	ENSMUSG00000090457	0.006381511
ENSG00000269534	ENSMUSG00000085834	0.006365044
ENSG00000232295	ENSMUSG00000102586	0.006334682
ENSG00000260647	ENSMUSG00000100465	0.006334532
ENSG00000249096	ENSMUSG00000085035	0.006332364
ENSG00000223344	ENSMUSG00000085048	0.00630109
ENSG00000249388	ENSMUSG00000101453	0.006291569
ENSG00000273903	ENSMUSG00000100628	0.006278855
ENSG00000267363	ENSMUSG00000103126	0.006259781
ENSG00000253774	ENSMUSG00000086159	0.006247769
ENSG00000260756	ENSMUSG00000085048	0.006246746
ENSG00000253927	ENSMUSG00000092403	0.006239168
ENSG00000236799	ENSMUSG00000085229	0.00622299
ENSG00000241359	ENSMUSG00000044306	0.006168609
ENSG00000263393	ENSMUSG00000086352	0.006163328
ENSG00000224165	ENSMUSG00000086783	0.006154898
ENSG00000236648	ENSMUSG00000097893	0.00615442
ENSG00000262663	ENSMUSG00000085864	0.006137121
ENSG00000275527	ENSMUSG00000086159	0.006127451
ENSG00000213468	ENSMUSG00000085864	0.006125306
ENSG00000267707	ENSMUSG00000085864	0.006121021
ENSG00000230091	ENSMUSG00000100465	0.006113092
ENSG00000255289	ENSMUSG00000100465	0.006112054
ENSG00000265643	ENSMUSG00000097348	0.006048039
ENSG00000276718	ENSMUSG00000097262	0.006033443
ENSG00000236723	ENSMUSG00000085864	0.005979599
ENSG00000230337	ENSMUSG00000086159	0.005974345
ENSG00000254983	ENSMUSG00000100465	0.005957447
ENSG00000196756	ENSMUSG00000085385	0.005954406
ENSG00000237166	ENSMUSG00000100465	0.005947324
ENSG00000272942	ENSMUSG00000085864	0.005936319
ENSG00000229331	ENSMUSG00000086391	0.005924596
ENSG00000259759	ENSMUSG00000100465	0.005924171
ENSG00000273160	ENSMUSG00000085229	0.005910987
ENSG00000205041	ENSMUSG00000085229	0.005905854
ENSG00000229692	ENSMUSG00000100465	0.005904184
ENSG00000282885	ENSMUSG00000086636	0.005887446
ENSG00000273196	ENSMUSG00000085229	0.005876253
ENSG00000237341	ENSMUSG00000086221	0.005872193
ENSG00000233755	ENSMUSG00000107723	0.005862069
ENSG00000257732	ENSMUSG00000085229	0.005858029
ENSG00000261656	ENSMUSG00000105731	0.005851064
ENSG00000217455	ENSMUSG00000085715	0.005843933
ENSG00000260887	ENSMUSG00000100860	0.005840708
ENSG00000262772	ENSMUSG00000108977	0.005830389
ENSG00000235123	ENSMUSG00000085012	0.005813953
ENSG00000272662	ENSMUSG00000100465	0.00580502
ENSG00000236008	ENSMUSG00000098055	0.005779364
ENSG00000197665	ENSMUSG00000087691	0.005753138
ENSG00000275567	ENSMUSG00000100465	0.005746155
ENSG00000267169	ENSMUSG00000085229	0.005744125
ENSG00000242516	ENSMUSG00000097649	0.005742126
ENSG00000251015	ENSMUSG00000085229	0.005741127
ENSG00000231838	ENSMUSG00000085229	0.005712307
ENSG00000228750	ENSMUSG00000109442	0.005709343
ENSG00000267299	ENSMUSG00000086159	0.0056899
ENSG00000256084	ENSMUSG00000085229	0.005686714
ENSG00000267612	ENSMUSG00000098041	0.005681818
ENSG00000262001	ENSMUSG00000100465	0.005676931
ENSG00000244649	ENSMUSG00000085949	0.005668155
ENSG00000273998	ENSMUSG00000100162	0.005652712
ENSG00000253363	ENSMUSG00000087330	0.005651653
ENSG00000232284	ENSMUSG00000102251	0.005650715
ENSG00000253776	ENSMUSG00000102224	0.005646727
ENSG00000146666	ENSMUSG00000098096	0.005641026
ENSG00000227673	ENSMUSG00000100465	0.005631399
ENSG00000267092	ENSMUSG00000100465	0.005627558
ENSG00000275491	ENSMUSG00000100465	0.005616065
ENSG00000255164	ENSMUSG00000102770	0.00559245
ENSG00000232675	ENSMUSG00000097348	0.005590496
ENSG00000271762	ENSMUSG00000087384	0.005588543
ENSG00000235246	ENSMUSG00000100465	0.005574136
ENSG00000180066	ENSMUSG00000100465	0.005566185
ENSG00000223776	ENSMUSG00000100465	0.00556211
ENSG00000255692	ENSMUSG00000107723	0.0055517
ENSG00000271780	ENSMUSG00000107723	0.005518193
ENSG00000260090	ENSMUSG00000085229	0.005503956
ENSG00000236800	ENSMUSG00000085229	0.005502063
ENSG00000256256	ENSMUSG00000085229	0.005489792
ENSG00000261251	ENSMUSG00000090329	0.005488851
ENSG00000225105	ENSMUSG00000085804	0.005477576
ENSG00000239593	ENSMUSG00000100465	0.005460751
ENSG00000273448	ENSMUSG00000100924	0.005451448
ENSG00000270605	ENSMUSG00000104631	0.005449112
ENSG00000258651	ENSMUSG00000100465	0.005445882
ENSG00000228444	ENSMUSG00000106357	0.005440326
ENSG00000203739	ENSMUSG00000085961	0.005440326
ENSG00000279442	ENSMUSG00000102897	0.00541272
ENSG00000261140	ENSMUSG00000106061	0.005410122
ENSG00000261498	ENSMUSG00000100465	0.005404492
ENSG00000267723	ENSMUSG00000085229	0.005403521
ENSG00000233372	ENSMUSG00000100465	0.005399933
ENSG00000225325	ENSMUSG00000100465	0.0053972
ENSG00000267201	ENSMUSG00000108977	0.005395997
ENSG00000229739	ENSMUSG00000099447	0.00539538
ENSG00000248275	ENSMUSG00000084776	0.005380334
ENSG00000215112	ENSMUSG00000106061	0.005372617
ENSG00000254338	ENSMUSG00000085229	0.005367687
ENSG00000259723	ENSMUSG00000103474	0.005364807
ENSG00000238113	ENSMUSG00000108822	0.005358686
ENSG00000269199	ENSMUSG00000086636	0.005351286
ENSG00000223732	ENSMUSG00000085715	0.005346671
ENSG00000258490	ENSMUSG00000085229	0.005342064
ENSG00000272660	ENSMUSG00000085229	0.005340224
ENSG00000271868	ENSMUSG00000085229	0.005332875
ENSG00000257221	ENSMUSG00000100465	0.005329207
ENSG00000230107	ENSMUSG00000101585	0.005328292
ENSG00000261024	ENSMUSG00000085229	0.005327376
ENSG00000223726	ENSMUSG00000084964	0.005312768
ENSG00000270562	ENSMUSG00000105731	0.005305978
ENSG00000228016	ENSMUSG00000085012	0.005300958
ENSG00000224057	ENSMUSG00000044306	0.005293716
ENSG00000253557	ENSMUSG00000101061	0.005291005
ENSG00000233842	ENSMUSG00000104932	0.00528289
ENSG00000234690	ENSMUSG00000103126	0.00528109
ENSG00000233735	ENSMUSG00000100465	0.005273903
ENSG00000267263	ENSMUSG00000103413	0.005257624
ENSG00000275236	ENSMUSG00000100465	0.005254237
ENSG00000234781	ENSMUSG00000100924	0.005254237
ENSG00000233535	ENSMUSG00000100465	0.005252457
ENSG00000227680	ENSMUSG00000100465	0.005235602
ENSG00000247151	ENSMUSG00000100465	0.005232951
ENSG00000231776	ENSMUSG00000102897	0.005225893
ENSG00000260388	ENSMUSG00000100465	0.005225013
ENSG00000247193	ENSMUSG00000079489	0.005220115
ENSG00000253634	ENSMUSG00000085864	0.005220115
ENSG00000249584	ENSMUSG00000085229	0.005211047
ENSG00000249069	ENSMUSG00000102582	0.005190311
ENSG00000273375	ENSMUSG00000103983	0.00517777
ENSG00000225498	ENSMUSG00000105880	0.005175091
ENSG00000270681	ENSMUSG00000108668	0.005170631
ENSG00000275630	ENSMUSG00000086558	0.005167069
ENSG00000249008	ENSMUSG00000084776	0.005165099
ENSG00000251182	ENSMUSG00000095385	0.005161979
ENSG00000232680	ENSMUSG00000085229	0.005152868
ENSG00000254242	ENSMUSG00000085229	0.005147563
ENSG00000255384	ENSMUSG00000099635	0.005143151
ENSG00000277425	ENSMUSG00000100465	0.005131714
ENSG00000232892	ENSMUSG00000100354	0.005126452
ENSG00000232835	ENSMUSG00000011350	0.00512277
ENSG00000267405	ENSMUSG00000100465	0.005119454
ENSG00000267642	ENSMUSG00000099843	0.005113346
ENSG00000239628	ENSMUSG00000086310	0.005111033
ENSG00000259123	ENSMUSG00000102224	0.00508326
ENSG00000272345	ENSMUSG00000100465	0.005062437
ENSG00000229395	ENSMUSG00000100465	0.005062437
ENSG00000231575	ENSMUSG00000085864	0.005048747
ENSG00000230014	ENSMUSG00000086308	0.005036877
ENSG00000258672	ENSMUSG00000100628	0.005032101
ENSG00000204588	ENSMUSG00000108977	0.004994833
ENSG00000223379	ENSMUSG00000101453	0.004994649
ENSG00000279418	ENSMUSG00000086411	0.004989677
ENSG00000267501	ENSMUSG00000085229	0.004977686
ENSG00000268886	ENSMUSG00000101585	0.004969157
ENSG00000271653	ENSMUSG00000108977	0.004964903
ENSG00000241101	ENSMUSG00000087547	0.004960657
ENSG00000261327	ENSMUSG00000102302	0.004954724
ENSG00000229664	ENSMUSG00000104016	0.004953032
ENSG00000283108	ENSMUSG00000102224	0.004945249
ENSG00000261872	ENSMUSG00000100368	0.00494263
ENSG00000259521	ENSMUSG00000086159	0.004938272
ENSG00000232624	ENSMUSG00000104016	0.004926108
ENSG00000267530	ENSMUSG00000100465	0.004922764
ENSG00000233849	ENSMUSG00000085229	0.004895961
ENSG00000250295	ENSMUSG00000100465	0.004889563
ENSG00000272054	ENSMUSG00000108845	0.004886268
ENSG00000226091	ENSMUSG00000103413	0.004864489
ENSG00000232335	ENSMUSG00000105664	0.004844291
ENSG00000264340	ENSMUSG00000085345	0.00483342
ENSG00000272389	ENSMUSG00000086159	0.004827463
ENSG00000258114	ENSMUSG00000085229	0.00481265
ENSG00000267089	ENSMUSG00000104631	0.004792059
ENSG00000250696	ENSMUSG00000101792	0.004783841
ENSG00000234230	ENSMUSG00000063714	0.004757859
ENSG00000278727	ENSMUSG00000085720	0.004756243
ENSG00000269889	ENSMUSG00000097248	0.004754358
ENSG00000254880	ENSMUSG00000097823	0.004746567
ENSG00000255864	ENSMUSG00000086921	0.004741834
ENSG00000178248	ENSMUSG00000086159	0.004730203
ENSG00000248049	ENSMUSG00000102897	0.004728132
ENSG00000265445	ENSMUSG00000086159	0.004722757
ENSG00000260976	ENSMUSG00000108473	0.00472255
ENSG00000224870	ENSMUSG00000103041	0.004718571
ENSG00000245556	ENSMUSG00000100465	0.004713805
ENSG00000269925	ENSMUSG00000108648	0.004663212
ENSG00000272627	ENSMUSG00000105104	0.004662407
ENSG00000249021	ENSMUSG00000085765	0.004650362
ENSG00000274015	ENSMUSG00000107682	0.004645561
ENSG00000272109	ENSMUSG00000085229	0.004642366
ENSG00000227927	ENSMUSG00000085229	0.00464077
ENSG00000257912	ENSMUSG00000085424	0.004639543
ENSG00000228397	ENSMUSG00000085229	0.004638378
ENSG00000249269	ENSMUSG00000098041	0.004637582
ENSG00000273399	ENSMUSG00000085229	0.004635193
ENSG00000253671	ENSMUSG00000085229	0.004632807
ENSG00000255004	ENSMUSG00000085229	0.004625664
ENSG00000235361	ENSMUSG00000085969	0.004624079
ENSG00000236306	ENSMUSG00000069223	0.004618543
ENSG00000254518	ENSMUSG00000101655	0.004616963
ENSG00000259408	ENSMUSG00000063109	0.004613019
ENSG00000232065	ENSMUSG00000075534	0.004612382
ENSG00000245667	ENSMUSG00000040705	0.004611443
ENSG00000227115	ENSMUSG00000086352	0.004604366
ENSG00000254248	ENSMUSG00000100465	0.004594963
ENSG00000248358	ENSMUSG00000085967	0.004590275
ENSG00000215196	ENSMUSG00000097823	0.004585598
ENSG00000225670	ENSMUSG00000085714	0.004585598
ENSG00000246334	ENSMUSG00000085311	0.004585598
ENSG00000269246	ENSMUSG00000086839	0.004584041
ENSG00000273069	ENSMUSG00000100465	0.004581707
ENSG00000272564	ENSMUSG00000087338	0.004581707
ENSG00000227495	ENSMUSG00000085317	0.00458093
ENSG00000274954	ENSMUSG00000100465	0.004578599
ENSG00000230737	ENSMUSG00000097247	0.004575048
ENSG00000149443	ENSMUSG00000060149	0.004572396
ENSG00000236544	ENSMUSG00000086839	0.004572396
ENSG00000205396	ENSMUSG00000100465	0.004570074
ENSG00000275898	ENSMUSG00000086159	0.004560603
ENSG00000203643	ENSMUSG00000085864	0.004555809
ENSG00000251426	ENSMUSG00000104016	0.004555424
ENSG00000256008	ENSMUSG00000086159	0.004546249
ENSG00000225329	ENSMUSG00000085239	0.004543866
ENSG00000225559	ENSMUSG00000104086	0.004524887
ENSG00000251294	ENSMUSG00000089819	0.004520167
ENSG00000261435	ENSMUSG00000107279	0.004518596
ENSG00000233271	ENSMUSG00000072723	0.004499048
ENSG00000237637	ENSMUSG00000085550	0.004495159
ENSG00000247765	ENSMUSG00000085229	0.004482759
ENSG00000230269	ENSMUSG00000105664	0.004478126
ENSG00000272831	ENSMUSG00000085229	0.004476584
ENSG00000273199	ENSMUSG00000087660	0.004469658
ENSG00000275016	ENSMUSG00000104631	0.004464286
ENSG00000260957	ENSMUSG00000104631	0.00445358
ENSG00000223534	ENSMUSG00000086530	0.004445204
ENSG00000262420	ENSMUSG00000085714	0.004441408
ENSG00000270792	ENSMUSG00000085548	0.004439133
ENSG00000236532	ENSMUSG00000102835	0.004438132
ENSG00000263494	ENSMUSG00000108311	0.004427793
ENSG00000240980	ENSMUSG00000109010	0.004420265
ENSG00000227518	ENSMUSG00000100140	0.004418522
ENSG00000250551	ENSMUSG00000073652	0.004415761
ENSG00000225731	ENSMUSG00000098912	0.004415011
ENSG00000179840	ENSMUSG00000086392	0.004409769
ENSG00000236240	ENSMUSG00000087330	0.00440454
ENSG00000255727	ENSMUSG00000085235	0.004382121
ENSG00000254960	ENSMUSG00000100368	0.004365287
ENSG00000274964	ENSMUSG00000109170	0.004365155
ENSG00000279066	ENSMUSG00000086159	0.004352763
ENSG00000232419	ENSMUSG00000105039	0.00434707
ENSG00000228463	ENSMUSG00000100465	0.004333942
ENSG00000230539	ENSMUSG00000090500	0.004333507
ENSG00000270704	ENSMUSG00000085229	0.004326757
ENSG00000261670	ENSMUSG00000097448	0.004319281
ENSG00000232001	ENSMUSG00000100465	0.004309602
ENSG00000230941	ENSMUSG00000106503	0.004296271
ENSG00000251259	ENSMUSG00000086170	0.004283756
ENSG00000265971	ENSMUSG00000090386	0.004274235
ENSG00000247363	ENSMUSG00000106674	0.004260395
ENSG00000260400	ENSMUSG00000092203	0.004256044
ENSG00000250887	ENSMUSG00000085714	0.004244482
ENSG00000233760	ENSMUSG00000100465	0.004243762
ENSG00000241818	ENSMUSG00000104016	0.004240882
ENSG00000259133	ENSMUSG00000100465	0.00423657
ENSG00000260026	ENSMUSG00000011350	0.004234298
ENSG00000236457	ENSMUSG00000097039	0.004228687
ENSG00000267269	ENSMUSG00000098912	0.004216563
ENSG00000230587	ENSMUSG00000090214	0.00421159
ENSG00000280026	ENSMUSG00000103956	0.004202387
ENSG00000272568	ENSMUSG00000086159	0.004193605
ENSG00000238194	ENSMUSG00000086159	0.00418702
ENSG00000184566	ENSMUSG00000104932	0.004156564
ENSG00000258048	ENSMUSG00000107815	0.004153686
ENSG00000267577	ENSMUSG00000108675	0.004137435
ENSG00000228412	ENSMUSG00000086328	0.004123003
ENSG00000235886	ENSMUSG00000085229	0.004115226
ENSG00000264215	ENSMUSG00000086964	0.004111701
ENSG00000224093	ENSMUSG00000107723	0.004108182
ENSG00000237076	ENSMUSG00000108379	0.004107479
ENSG00000258123	ENSMUSG00000085229	0.004107479
ENSG00000269901	ENSMUSG00000097953	0.004106074
ENSG00000249697	ENSMUSG00000092187	0.004103479
ENSG00000234718	ENSMUSG00000097585	0.004103266
ENSG00000274363	ENSMUSG00000086636	0.004099761
ENSG00000243836	ENSMUSG00000108977	0.004095563
ENSG00000228824	ENSMUSG00000063714	0.004095563
ENSG00000256499	ENSMUSG00000073045	0.004091374
ENSG00000275223	ENSMUSG00000085804	0.004090677
ENSG00000260948	ENSMUSG00000102476	0.004085106
ENSG00000238284	ENSMUSG00000086370	0.004071247
ENSG00000267504	ENSMUSG00000105354	0.004061601
ENSG00000241048	ENSMUSG00000086392	0.004060227
ENSG00000235725	ENSMUSG00000100465	0.004058853
ENSG00000234293	ENSMUSG00000100924	0.004058167
ENSG00000258050	ENSMUSG00000084954	0.004057481
ENSG00000228763	ENSMUSG00000085864	0.004057153
ENSG00000259251	ENSMUSG00000097548	0.004056795
ENSG00000251281	ENSMUSG00000097953	0.004055424
ENSG00000277545	ENSMUSG00000097348	0.004052863
ENSG00000256357	ENSMUSG00000101061	0.004050633
ENSG00000266578	ENSMUSG00000102840	0.004049266
ENSG00000253577	ENSMUSG00000101392	0.004048583
ENSG00000251635	ENSMUSG00000105731	0.00404787
ENSG00000224511	ENSMUSG00000105354	0.004046535
ENSG00000233048	ENSMUSG00000106503	0.004045171
ENSG00000272695	ENSMUSG00000085896	0.004043127
ENSG00000274776	ENSMUSG00000108332	0.004038364
ENSG00000279028	ENSMUSG00000103956	0.004033613
ENSG00000270638	ENSMUSG00000084776	0.004024881
ENSG00000246876	ENSMUSG00000040705	0.004011161
ENSG00000255321	ENSMUSG00000087193	0.003987517
ENSG00000283103	ENSMUSG00000100465	0.003980616
ENSG00000273382	ENSMUSG00000097115	0.003973739
ENSG00000250360	ENSMUSG00000086236	0.003955968
ENSG00000234405	ENSMUSG00000086891	0.003955696
ENSG00000235910	ENSMUSG00000085229	0.003947143
ENSG00000231424	ENSMUSG00000087486	0.003943082
ENSG00000226387	ENSMUSG00000074398	0.003937008
ENSG00000225187	ENSMUSG00000085229	0.003935661
ENSG00000253301	ENSMUSG00000092187	0.00392787
ENSG00000249568	ENSMUSG00000108977	0.003922906
ENSG00000234177	ENSMUSG00000105731	0.003912502
ENSG00000228830	ENSMUSG00000096532	0.003907638
ENSG00000224388	ENSMUSG00000100465	0.00390625
ENSG00000239440	ENSMUSG00000078143	0.003904261
ENSG00000270127	ENSMUSG00000085714	0.003899627
ENSG00000261467	ENSMUSG00000107288	0.003896984
ENSG00000179082	ENSMUSG00000087485	0.003893026
ENSG00000242781	ENSMUSG00000085152	0.003884479
ENSG00000249091	ENSMUSG00000101061	0.003881857
ENSG00000271787	ENSMUSG00000085834	0.003881201
ENSG00000258913	ENSMUSG00000087437	0.003881201
ENSG00000226990	ENSMUSG00000108332	0.003879238
ENSG00000261154	ENSMUSG00000100465	0.003878583
ENSG00000253190	ENSMUSG00000055833	0.00387401
ENSG00000272703	ENSMUSG00000102224	0.003854915
ENSG00000226005	ENSMUSG00000085864	0.003842124
ENSG00000267688	ENSMUSG00000100368	0.003841453
ENSG00000228639	ENSMUSG00000097893	0.003826531
ENSG00000228613	ENSMUSG00000087242	0.003815407
ENSG00000248912	ENSMUSG00000086321	0.003809524
ENSG00000235054	ENSMUSG00000097893	0.003808487
ENSG00000189196	ENSMUSG00000087193	0.003804254
ENSG00000267498	ENSMUSG00000107296	0.003800311
ENSG00000272836	ENSMUSG00000107723	0.00379245
ENSG00000234275	ENSMUSG00000087660	0.003779419
ENSG00000232581	ENSMUSG00000087660	0.003772938
ENSG00000281912	ENSMUSG00000100209	0.003767768
ENSG00000258600	ENSMUSG00000074398	0.003767123
ENSG00000261379	ENSMUSG00000101133	0.003765834
ENSG00000223653	ENSMUSG00000108977	0.003765189
ENSG00000230532	ENSMUSG00000085714	0.003760684
ENSG00000258162	ENSMUSG00000107723	0.003758114
ENSG00000255320	ENSMUSG00000085760	0.003756189
ENSG00000279750	ENSMUSG00000051844	0.003753626
ENSG00000231154	ENSMUSG00000084956	0.003751066
ENSG00000260440	ENSMUSG00000107862	0.003747871
ENSG00000236673	ENSMUSG00000100243	0.003746655
ENSG00000223400	ENSMUSG00000107887	0.003744681
ENSG00000254561	ENSMUSG00000090386	0.003738953
ENSG00000271659	ENSMUSG00000084760	0.003738953
ENSG00000236849	ENSMUSG00000099470	0.003738953
ENSG00000234772	ENSMUSG00000086324	0.003735779
ENSG00000264734	ENSMUSG00000085279	0.003735144
ENSG00000249171	ENSMUSG00000107217	0.00373451
ENSG00000275092	ENSMUSG00000084932	0.003729446
ENSG00000251040	ENSMUSG00000108497	0.003726287
ENSG00000255649	ENSMUSG00000063623	0.003722504
ENSG00000231811	ENSMUSG00000085858	0.003719986
ENSG00000270504	ENSMUSG00000097892	0.003718729
ENSG00000232807	ENSMUSG00000100465	0.003717472
ENSG00000272619	ENSMUSG00000087574	0.003715589
ENSG00000270179	ENSMUSG00000101061	0.00371308
ENSG00000177234	ENSMUSG00000098912	0.003709324
ENSG00000235513	ENSMUSG00000055833	0.003708699
ENSG00000251365	ENSMUSG00000100437	0.003705575
ENSG00000225350	ENSMUSG00000105354	0.00370308
ENSG00000249816	ENSMUSG00000105354	0.003702457
ENSG00000259143	ENSMUSG00000105354	0.003700589
ENSG00000233993	ENSMUSG00000100465	0.003699966
ENSG00000255998	ENSMUSG00000104444	0.003659812
ENSG00000273485	ENSMUSG00000084776	0.003658314
ENSG00000237934	ENSMUSG00000085864	0.003655352
ENSG00000255306	ENSMUSG00000085864	0.003649635
ENSG00000275055	ENSMUSG00000086154	0.003640146
ENSG00000272758	ENSMUSG00000085012	0.003626943
ENSG00000259073	ENSMUSG00000087384	0.003625065
